timestamp,model_id,model_name,num_epochs,batch_size,data_type,learning_rate,final_loss,early_stop,num_params,training_time
2024-06-22 05:01:43.200423,SymmetryNet_64_100_Dis,SymmetryNet,100,64,disambiguated,0.001,0.014466263198604187,78,228120,20.667524337768555
2024-06-22 05:02:00.807606,SymmetryNet_64_250_Dis,SymmetryNet,250,64,disambiguated,0.001,0.014375611518820127,65,228120,17.6040141582489
2024-06-22 05:02:17.605256,SymmetryNet_64_500_Dis,SymmetryNet,500,64,disambiguated,0.001,0.014227089782555899,66,228120,16.794560432434082
2024-06-22 05:02:29.343331,SymmetryNet_128_100_Dis,SymmetryNet,100,128,disambiguated,0.001,0.014166289009153843,69,228120,11.734628438949585
2024-06-22 05:02:43.166628,SymmetryNet_128_250_Dis,SymmetryNet,250,128,disambiguated,0.001,0.014065741871794065,79,228120,13.820290088653564
2024-06-22 05:02:53.430387,SymmetryNet_128_500_Dis,SymmetryNet,500,128,disambiguated,0.001,0.014123779721558094,59,228120,10.261417150497437
2024-06-22 05:04:54.102010,SymResNet_16_100_Dis,SymResNet,100,16,disambiguated,0.001,0.005141641002237087,54,12880,120.66880655288696
2024-06-22 05:06:46.780828,SymResNet_16_250_Dis,SymResNet,250,16,disambiguated,0.001,0.00540310322927932,51,12880,112.67556262016296
2024-06-22 05:08:50.372999,SymResNet_16_500_Dis,SymResNet,500,16,disambiguated,0.001,0.005690035255004962,56,12880,123.58895349502563
2024-06-22 05:09:24.197031,SymResNet_64_100_Dis,SymResNet,100,64,disambiguated,0.001,0.0060343673297514515,51,12880,33.82084846496582
2024-06-22 05:09:56.994048,SymResNet_64_250_Dis,SymResNet,250,64,disambiguated,0.001,0.006049217268203695,50,12880,32.7936635017395
2024-06-22 05:10:29.620354,SymResNet_64_500_Dis,SymResNet,500,64,disambiguated,0.001,0.006060549058020115,52,12880,32.623281955718994
2024-06-22 05:10:51.816903,SymResNet_128_100_Dis,SymResNet,100,128,disambiguated,0.001,0.006021490786224604,53,12880,22.193531274795532
2024-06-22 05:11:13.878592,SymResNet_128_250_Dis,SymResNet,250,128,disambiguated,0.001,0.006058547490586837,51,12880,22.058729648590088
2024-06-22 05:11:37.504540,SymResNet_128_500_Dis,SymResNet,500,128,disambiguated,0.001,0.006034181608508031,56,12880,23.62381362915039
